y value,alpha-H2,alpha-H,alpha-O,alpha-O2,alpha-OH,alpha-H2O,alpha-HO2,alpha-H2O2
6.652593291074768,-1.755596e+00,-4.665171e+00,-3.946417e+00,-1.804218e+00,-1.313729e+00,+2.124694e+00,-5.027503e-01,-1.580010e+00
6.177584705112819,-1.346285e+00,-4.134188e+00,+1.341860e+00,-5.134191e-02,-2.273511e+00,+3.727216e+00,+2.028613e+00,+2.492834e+00
4.944081254234386,-1.793222e+00,-5.611132e+00,-6.200059e-02,-7.048094e-01,-3.069772e+00,+3.096860e+00,+1.916398e+00,-8.698794e-01
4.944081254234386,-1.793222e+00,-5.611132e+00,-6.200059e-02,-7.048094e-01,-3.069772e+00,+3.096860e+00,+1.916398e+00,-8.698794e-01
4.944081254234386,-1.793222e+00,-5.611132e+00,-6.200059e-02,-7.048094e-01,-3.069772e+00,+3.096860e+00,+1.916398e+00,-8.698794e-01
4.944081254234386,-1.793222e+00,-5.611132e+00,-6.200059e-02,-7.048094e-01,-3.069772e+00,+3.096860e+00,+1.916398e+00,-8.698794e-01
4.944081254234386,-1.793222e+00,-5.611132e+00,-6.200059e-02,-7.048094e-01,-3.069772e+00,+3.096860e+00,+1.916398e+00,-8.698794e-01
4.944081254234386,-1.793222e+00,-5.611132e+00,-6.200059e-02,-7.048094e-01,-3.069772e+00,+3.096860e+00,+1.916398e+00,-8.698794e-01
4.944081254234386,-1.793222e+00,-5.611132e+00,-6.200059e-02,-7.048094e-01,-3.069772e+00,+3.096860e+00,+1.916398e+00,-8.698794e-01
4.869940888291031,-1.973757e+00,-6.101042e+00,+2.591311e-01,-1.655507e-01,-3.383816e+00,+3.555569e+00,+2.429734e+00,+2.380905e+00
4.6599213467385106,-2.009000e+00,-6.877538e+00,-1.541263e+00,-1.079807e-01,-2.237800e+00,+3.602753e+00,+2.462980e+00,-1.299550e+00
4.6599213467385106,-2.009000e+00,-6.877538e+00,-1.541263e+00,-1.079807e-01,-2.237800e+00,+3.602753e+00,+2.462980e+00,-1.299550e+00
4.6599213467385106,-2.009000e+00,-6.877538e+00,-1.541263e+00,-1.079807e-01,-2.237800e+00,+3.602753e+00,+2.462980e+00,-1.299550e+00
4.6599213467385106,-2.009000e+00,-6.877538e+00,-1.541263e+00,-1.079807e-01,-2.237800e+00,+3.602753e+00,+2.462980e+00,-1.299550e+00
4.6599213467385106,-2.009000e+00,-6.877538e+00,-1.541263e+00,-1.079807e-01,-2.237800e+00,+3.602753e+00,+2.462980e+00,-1.299550e+00
4.6599213467385106,-2.009000e+00,-6.877538e+00,-1.541263e+00,-1.079807e-01,-2.237800e+00,+3.602753e+00,+2.462980e+00,-1.299550e+00
4.542533723611176,-2.249773e+00,-6.603826e+00,-4.103929e-02,-1.232653e+00,-3.390198e+00,+2.576995e+00,+1.470300e+00,+5.216855e-01
4.542533723611176,-2.249773e+00,-6.603826e+00,-4.103929e-02,-1.232653e+00,-3.390198e+00,+2.576995e+00,+1.470300e+00,+5.216855e-01
4.542533723611176,-2.249773e+00,-6.603826e+00,-4.103929e-02,-1.232653e+00,-3.390198e+00,+2.576995e+00,+1.470300e+00,+5.216855e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.310503131289701,-2.284219e+00,-7.189518e+00,-1.027492e+00,-7.130834e-01,-1.699970e+00,+3.034566e+00,+2.068880e+00,+7.194219e-01
4.231874614136096,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.634041e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.231874614136096,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.634041e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.231874614136096,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.634041e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.231874614136096,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.634041e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.231874614136096,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.634041e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.231874614136096,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.634041e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.215031803949655,-2.697565e+00,-8.458996e+00,-5.018791e-01,-6.656039e-01,-1.858998e+00,+3.030476e+00,+2.620169e+00,+8.865966e-01
4.179921558540394,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.672834e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.179921558540394,-2.638929e+00,-8.297273e+00,-4.960547e-01,-7.246767e-01,-1.672834e+00,+2.984576e+00,+2.292741e+00,-1.209806e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.172997488648316,-2.615843e+00,-8.336354e+00,-7.990426e-01,-6.439568e-01,-1.951938e+00,+3.058846e+00,+2.356990e+00,+2.674756e-01
4.163224306702756,-2.602086e+00,-8.292514e+00,-6.107766e-01,-6.638034e-01,-1.941673e+00,+3.042760e+00,+2.344594e+00,+2.660690e-01
4.153688434825588,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,+4.445774e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.149679015450071,-2.616362e+00,-8.147005e+00,-2.989317e-01,-9.307982e-01,-1.935755e+00,+2.804046e+00,+2.016383e+00,-1.544661e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.144578116716482,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,-4.579162e-01
4.141615025516304,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,+2.732337e-01
4.141615025516304,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,+2.732337e-01
4.141615025516304,-2.678865e+00,-8.267842e+00,-5.082752e-01,-9.726026e-01,-2.163949e+00,+2.759926e+00,+2.013582e+00,+2.732337e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.13266223900966,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.491713e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.132601762752953,-2.669469e+00,-8.400972e+00,-1.876317e-02,-7.455847e-01,-1.993138e+00,+2.962590e+00,+2.364548e+00,-3.450802e-01
4.129015014813557,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-5.896492e-01
4.129015014813557,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-5.896492e-01
4.129015014813557,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-5.896492e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.126308846799304,-2.682857e+00,-8.415700e+00,-2.540912e-01,-8.006740e-01,-2.045071e+00,+2.912167e+00,+2.248466e+00,-4.699540e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.125747064657665,-2.672077e+00,-8.428672e+00,-2.116837e-01,-7.390944e-01,-1.974375e+00,+2.968062e+00,+2.353340e+00,-2.868410e-01
4.1253488141870145,-2.709747e+00,-8.498671e+00,-5.052736e-01,-8.445181e-01,-1.949817e+00,+2.870221e+00,+2.278137e+00,+1.849858e-01
4.1253488141870145,-2.709747e+00,-8.498671e+00,-5.052736e-01,-8.445181e-01,-1.949817e+00,+2.870221e+00,+2.278137e+00,+1.849858e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.121510576584334,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-2.799690e-01
4.120533792739359,-2.651681e+00,-8.434103e+00,-9.221568e-02,-6.612561e-01,-1.804318e+00,+3.039472e+00,+2.408642e+00,+3.350496e-02
4.120533792739359,-2.651681e+00,-8.434103e+00,-9.221568e-02,-6.612561e-01,-1.804318e+00,+3.039472e+00,+2.408642e+00,+3.350496e-02
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.12016508138828,-2.698328e+00,-8.518217e+00,-3.114613e-01,-7.460891e-01,-1.823780e+00,+2.958913e+00,+2.345426e+00,-1.180199e-01
4.118382250867618,-2.705488e+00,-8.513728e+00,-3.404853e-01,-8.130752e-01,-1.897129e+00,+2.898622e+00,+2.279032e+00,-1.753370e-01
4.117835091362843,-2.693415e+00,-8.520323e+00,-2.660283e-01,-7.271418e-01,-1.828164e+00,+2.976289e+00,+2.380951e+00,-1.288177e-01
