epoch,loss,validation_loss
0.0,0.018940061330795288,0.000223256487515755
1.0,0.0005033417837694287,9.403203875990584e-05
2.0,0.0003836968680843711,0.00010814356937771663
3.0,0.0004369789967313409,6.912335811648518e-05
4.0,0.0004947442794218659,6.525288335978985e-05
5.0,0.00025371520314365625,0.0001492687879363075
6.0,0.0002672083501238376,0.00012512493412941694
7.0,0.00017031736206263304,3.454968464211561e-05
8.0,0.0001552470203023404,9.46278014453128e-05
9.0,0.00014859899238217622,2.4860381017788313e-05
10.0,0.00015588023234158754,4.557218198897317e-05
11.0,0.00010417815792607144,2.3580209017382003e-05
12.0,0.00011616490519372746,2.563022280810401e-05
13.0,8.617262210464105e-05,1.286968654312659e-05
14.0,8.390284347115085e-05,2.35384504776448e-05
15.0,0.0001441102649550885,1.7053991541615687e-05
16.0,7.405922224279493e-05,2.2808093490311876e-05
17.0,6.539267633343115e-05,2.2804902982898057e-05
18.0,0.00011681036266963929,1.0354511687182821e-05
19.0,5.178996434551664e-05,1.2180435078334995e-05
20.0,9.798535756999627e-05,1.6791158486739732e-05
21.0,4.787805301020853e-05,1.6340396541636437e-05
22.0,4.321250526118092e-05,1.0067588846141007e-05
23.0,6.540392496390268e-05,1.2256136869837064e-05
24.0,5.915973088121973e-05,1.0174443559662905e-05
25.0,5.8403555158292875e-05,1.2566443729156163e-05
26.0,3.3006203011609614e-05,1.0296179425495211e-05
27.0,5.932817657594569e-05,1.3407564438239206e-05
28.0,2.7307636628393084e-05,1.5891815564827994e-05
29.0,4.1418123146286234e-05,1.479779075452825e-05
30.0,3.0292381779872812e-05,1.4523316167469602e-05
31.0,3.22843152389396e-05,1.4569973245670553e-05
32.0,2.9920533052063547e-05,1.4746181477676146e-05
33.0,3.759319588425569e-05,9.42178758123191e-06
34.0,4.5868291635997593e-05,1.1545712368388195e-05
35.0,2.7930993383051828e-05,1.2195074305054732e-05
36.0,3.1685587600804865e-05,9.07426692720037e-06
37.0,3.3674470614641905e-05,8.234369488491211e-06
38.0,2.220039641542826e-05,1.0347140232624952e-05
39.0,2.6412084480398335e-05,1.1940963304368779e-05
40.0,2.7622818379313685e-05,8.240615898102988e-06
41.0,2.2145606635604054e-05,8.270193575299345e-06
42.0,3.315852154628374e-05,8.401569175475743e-06
43.0,1.8175767763750628e-05,9.567899724061135e-06
44.0,2.0752002455992624e-05,1.2674912795773707e-05
45.0,1.9385181076359004e-05,1.0714996278693434e-05
46.0,2.352719457121566e-05,8.609484211774543e-06
47.0,1.8298385839443654e-05,1.2609010809683241e-05
48.0,2.2208962036529556e-05,7.724104762019124e-06
49.0,1.6932302969507873e-05,1.2410739145707339e-05
50.0,1.6910285921767354e-05,9.644803867558949e-06
51.0,1.9739036360988393e-05,1.0748147360573057e-05
52.0,1.930292637553066e-05,1.3898860743211117e-05
53.0,1.9645365682663396e-05,1.1352430192346219e-05
54.0,1.941350092238281e-05,1.1173963684996124e-05
55.0,2.2662936316919513e-05,5.769159542978741e-06
56.0,1.4883871699566953e-05,1.254549169971142e-05
57.0,2.2670170437777415e-05,5.339696599548915e-06
58.0,1.2400176274240948e-05,1.2333336599112954e-05
59.0,1.3201100955484435e-05,1.66913141583791e-05
60.0,1.9243636415922083e-05,6.446396128012566e-06
61.0,1.5547711882391013e-05,6.872123321954859e-06
62.0,1.5197620996332262e-05,8.303490176331252e-06
63.0,1.5061141311889514e-05,8.329976481036283e-06
64.0,1.5405379599542357e-05,7.058478786348132e-06
65.0,1.2426686225808226e-05,1.0714446034398861e-05
66.0,1.7126141756307334e-05,4.751168489747215e-06
67.0,1.189728754980024e-05,1.1799027561210096e-05
68.0,1.436785350961145e-05,6.743548965459922e-06
69.0,1.3275355740915984e-05,5.434961622086121e-06
70.0,1.25766709970776e-05,6.838334684289293e-06
71.0,1.2548676750157028e-05,6.45208228888805e-06
72.0,1.2259005416126456e-05,6.492602096841438e-06
73.0,1.2239735042385291e-05,5.0516737246653065e-06
74.0,1.3374845366342925e-05,4.245987383910688e-06
75.0,1.1369746971467976e-05,6.753603429388022e-06
76.0,1.1402510608604643e-05,5.684250027115922e-06
77.0,1.1536073543538805e-05,5.231223440205213e-06
78.0,1.0865703188756015e-05,5.381537448556628e-06
79.0,1.1023109436791856e-05,5.0632411330298055e-06
80.0,1.0505527825444005e-05,4.86708631797228e-06
81.0,1.123722813645145e-05,4.0819581954565365e-06
82.0,9.99718758976087e-06,4.942550731357187e-06
83.0,1.042284657160053e-05,3.823397946689511e-06
84.0,9.965523531718645e-06,4.656610144593287e-06
85.0,9.497137398284394e-06,4.545348019746598e-06
86.0,1.0279782145516947e-05,3.709780457938905e-06
87.0,8.971495844889432e-06,4.857434305449715e-06
88.0,9.033722562890034e-06,4.6623890739283524e-06
89.0,8.858552973833866e-06,4.482884378376184e-06
90.0,8.702681043359917e-06,4.309193627705099e-06
91.0,8.662674190418329e-06,3.854041096928995e-06
92.0,8.30770113680046e-06,4.29477404395584e-06
93.0,7.326555078179808e-06,6.450385171774542e-06
94.0,8.57310624269303e-06,3.554291197360726e-06
95.0,9.813331416808069e-06,3.9913616092235316e-06
96.0,7.010356512182625e-06,3.4073812003043713e-06
97.0,7.963430107338354e-06,2.8560518785525346e-06
98.0,7.483365152438637e-06,3.313242814328987e-06
99.0,7.396747150778538e-06,3.3984156289079692e-06
100.0,6.314894562819973e-06,4.740311396744801e-06
101.0,6.7693267737922724e-06,3.6504759464150993e-06
102.0,7.680354428885039e-06,4.4752805479220115e-06
103.0,6.171856512082741e-06,5.247122317086905e-06
104.0,5.869749202247476e-06,5.100151156511856e-06
105.0,6.399778158083791e-06,3.690315679705236e-06
106.0,6.1881742112746e-06,2.9188863663875964e-06
107.0,6.366350589814829e-06,2.928520643763477e-06
108.0,6.643756933044642e-06,3.741236014320748e-06
109.0,5.5676468946330715e-06,4.701506441051606e-06
110.0,5.301227247400675e-06,4.816067757928977e-06
111.0,6.244977157621179e-06,4.285994691599626e-06
112.0,5.685214091499802e-06,3.983669557783287e-06
113.0,5.723303729610052e-06,2.9240870844660094e-06
114.0,5.1544461712182965e-06,3.345475988680846e-06
115.0,5.3473545449378435e-06,3.0418184451264096e-06
116.0,5.716289251722628e-06,3.0969181352702435e-06
117.0,9.114923159359023e-06,2.100202209476265e-06
118.0,3.862222001771443e-06,2.8564647891471395e-06
119.0,4.786111276189331e-06,3.794076064878027e-06
120.0,5.522615538211539e-06,2.8225720143382205e-06
121.0,4.814521162188612e-06,2.6889633772952948e-06
122.0,5.253680228634039e-06,2.754175739028142e-06
123.0,4.823363269679248e-06,2.27371333494375e-06
124.0,5.136748313816497e-06,2.48650690082286e-06
125.0,4.578274456434883e-06,2.531413429096574e-06
126.0,5.17829175805673e-06,2.431791699564201e-06
127.0,6.065068191674072e-06,2.007302782658371e-06
128.0,3.808274186667404e-06,3.2414136512670666e-06
129.0,4.851157427765429e-06,2.245129053335404e-06
130.0,4.555078703560866e-06,2.294263140356634e-06
131.0,4.4784046622226015e-06,2.2984715997154126e-06
132.0,4.483664724830305e-06,2.2475280729850056e-06
133.0,4.411052032082807e-06,2.2552849259227514e-06
134.0,4.072965566592757e-06,2.526826847315533e-06
135.0,4.282643658370944e-06,2.0966585907444824e-06
136.0,7.325871592911426e-06,1.8457538999427925e-06
137.0,3.0048215649003396e-06,2.4821333681757096e-06
138.0,3.671214471978601e-06,2.6125799195142463e-06
139.0,4.239365352987079e-06,1.9970277662650915e-06
140.0,3.490879407763714e-06,1.9546014300431125e-06
141.0,4.885913313046331e-06,1.7988758145293104e-06
142.0,3.0697153761138907e-06,2.332117901460151e-06
143.0,6.11214409218519e-06,1.788563508853258e-06
144.0,2.7964372293354245e-06,1.960958115887479e-06
145.0,3.3576329769857693e-06,1.9829103621304967e-06
146.0,3.938978807127569e-06,1.8459365946910111e-06
147.0,3.7630968563462375e-06,1.8361392903898377e-06
148.0,3.6312333122623386e-06,1.821452542571933e-06
149.0,3.555089278961532e-06,1.8145187823392916e-06
150.0,3.5529326396499528e-06,1.8204335674454342e-06
151.0,3.527856279106345e-06,1.8162401147492346e-06
152.0,3.505530003167223e-06,1.7951134623217513e-06
153.0,3.498398427836946e-06,1.7563751271154615e-06
154.0,3.5523851238394855e-06,1.7190981225212454e-06
155.0,3.149708163618925e-06,1.721062176329724e-06
156.0,3.348491873111925e-06,1.7409755628250423e-06
157.0,3.3529438496771036e-06,1.6927937167565688e-06
158.0,2.989794211316621e-06,2.3462841909349663e-06
159.0,2.921052555393544e-06,1.7058889625332085e-06
160.0,3.2606394597678445e-06,1.6536889688723022e-06
161.0,2.6125394470000174e-06,1.704656710899144e-06
162.0,3.527927674440434e-06,1.529716314507823e-06
163.0,2.546850282669766e-06,1.7264629832425271e-06
164.0,3.143686626572162e-06,1.6078611224656925e-06
165.0,2.792802433759789e-06,1.643629843783856e-06
166.0,2.3916047666716622e-06,1.687879603196052e-06
167.0,3.148437372146873e-06,1.5500648942179396e-06
168.0,2.5204535631928593e-06,1.6721285192033974e-06
169.0,2.446025291646947e-06,1.6164465250767535e-06
170.0,2.877027782233199e-06,1.559742941026343e-06
171.0,2.4610928903712193e-06,1.6765421833042637e-06
172.0,2.348824864384369e-06,1.5065944580783253e-06
173.0,2.787117409752682e-06,1.5442684571098653e-06
174.0,2.1484659100678982e-06,1.477866135246586e-06
175.0,2.4551761725888355e-06,1.5775979136378737e-06
176.0,2.346377868889249e-06,1.5553575849480694e-06
177.0,2.3382390281767584e-06,1.5626192180207e-06
178.0,2.335636509087635e-06,1.5336883052441408e-06
179.0,2.381928197792149e-06,1.4686822851217585e-06
180.0,2.3156167117122095e-06,1.4673196346848272e-06
181.0,2.3097384200809756e-06,1.439490119992115e-06
182.0,2.2062215521145845e-06,1.5099991514944122e-06
183.0,2.294199020980159e-06,1.3851812354914728e-06
184.0,2.2647623154625762e-06,1.4665663456980838e-06
185.0,1.8978588514073635e-06,1.5030079794087214e-06
186.0,2.2637848360318458e-06,1.4579790104107815e-06
187.0,2.064004092972027e-06,1.4536516346197459e-06
188.0,2.3429338398273103e-06,1.366238734590297e-06
189.0,1.9922590581700206e-06,1.4038680546946125e-06
190.0,2.069015408778796e-06,1.4188033219397767e-06
191.0,2.4870123525033705e-06,1.3464797348206048e-06
192.0,2.006273234655964e-06,1.3474810884872568e-06
193.0,1.9121621335216332e-06,1.4415910527532105e-06
194.0,2.10653251997428e-06,1.304916622757446e-06
195.0,1.8637917946762173e-06,1.3953227835372672e-06
196.0,2.011323431361234e-06,1.3231166349214618e-06
197.0,1.8526015992392786e-06,1.4050393701836583e-06
198.0,2.2100186924944865e-06,1.4926919220670243e-06
199.0,2.0368752302601933e-06,1.263112267224642e-06
200.0,1.7550980828673346e-06,1.368233711218636e-06
201.0,1.9245824205427198e-06,1.2872185379819712e-06
202.0,1.887233793240739e-06,1.2700553497779765e-06
203.0,1.7597163832760998e-06,1.3199384056861163e-06
204.0,1.8674866169021698e-06,1.2550905239550048e-06
205.0,1.7256795672437875e-06,1.3343324098968878e-06
206.0,1.8148742810808471e-06,1.258689508176758e-06
207.0,1.7158334912892315e-06,1.3061176105111372e-06
208.0,1.7780409962142585e-06,1.2477051996029331e-06
209.0,1.68679241596692e-06,1.2914684930365183e-06
210.0,1.7482290104453568e-06,1.2370882132017869e-06
211.0,1.6573756056459388e-06,1.2764896837325068e-06
212.0,1.7225955843969132e-06,1.2270545539649902e-06
213.0,1.6911479860937106e-06,1.2206877499920665e-06
214.0,1.6954846842054394e-06,1.2238132285347092e-06
215.0,1.6981791759462794e-06,1.214994313158968e-06
216.0,1.695241053312202e-06,1.1837350939458702e-06
217.0,1.6402123037551064e-06,1.2210912245791405e-06
218.0,1.7224265320692211e-06,1.1712270406860625e-06
219.0,1.6052172213676386e-06,1.1765649787776056e-06
220.0,1.6150623878274928e-06,1.1950144198635826e-06
221.0,1.6887959191080881e-06,1.16268961392052e-06
222.0,1.7463081576352124e-06,1.1511580169099034e-06
223.0,1.563802243254031e-06,1.1541894764377503e-06
224.0,1.547321176076366e-06,1.151961896539433e-06
225.0,1.6866373471202678e-06,1.149686795542948e-06
226.0,1.5249299849529052e-06,1.1435711257945513e-06
227.0,1.60204513122153e-06,1.1314559742459096e-06
228.0,1.5730836366856238e-06,1.1269763717791648e-06
229.0,1.568412471897318e-06,1.1216786788281752e-06
230.0,1.56320152200351e-06,1.1173027587574325e-06
231.0,1.5299134474844323e-06,1.1101806194346864e-06
232.0,1.5191405964287696e-06,1.1058745030823047e-06
233.0,1.50094376749621e-06,1.100970962397696e-06
234.0,1.487465169702773e-06,1.0967589787469478e-06
235.0,1.4749771253264043e-06,1.0929170457529835e-06
236.0,1.4631270914833294e-06,1.0891443480431917e-06
237.0,1.4520155673380941e-06,1.0856217613763874e-06
238.0,1.4413762983167544e-06,1.0823955562955234e-06
239.0,1.431336386303883e-06,1.0792999773912015e-06
240.0,1.421509523424902e-06,1.0765402294055093e-06
241.0,1.4124386780167697e-06,1.07386017589306e-06
242.0,1.403442297487345e-06,1.0716506722019403e-06
243.0,1.3948657624496263e-06,1.069855557034316e-06
244.0,1.3865439996152418e-06,1.0686057976272423e-06
245.0,1.3779888377030147e-06,1.0676060355763184e-06
246.0,1.3697457461603335e-06,1.067454718395311e-06
247.0,1.3613482678920263e-06,1.0674739314708859e-06
248.0,1.3534606750909006e-06,1.0686601399356732e-06
249.0,1.345899363514036e-06,1.0707116189223598e-06
250.0,1.3373015690376633e-06,1.0724613730417332e-06
251.0,1.3288641866893158e-06,1.0746628049673745e-06
252.0,1.3197162616052083e-06,1.0766124205474625e-06
253.0,1.3102040838930407e-06,1.0774944030345068e-06
254.0,1.3020257938478608e-06,1.080746642401209e-06
255.0,1.292619458581612e-06,1.0822859621839598e-06
256.0,1.2850591701862868e-06,1.0866524462471716e-06
257.0,1.2781640634784708e-06,1.0916683095274493e-06
258.0,1.2702691947197309e-06,1.0931272527159308e-06
259.0,1.2574911352203344e-06,1.0875164662138559e-06
260.0,1.2459188383218134e-06,1.0810496178237372e-06
261.0,1.2364697568045813e-06,1.0765425031422637e-06
262.0,1.2259424693183973e-06,1.0710731430663145e-06
263.0,1.2156762068116223e-06,1.065482592821354e-06
264.0,1.206131628350704e-06,1.0605554052744992e-06
265.0,1.195862068925635e-06,1.054621748153295e-06
266.0,1.1872674576807185e-06,1.050745368047501e-06
267.0,1.1764743703679414e-06,1.0439326842970331e-06
268.0,1.169119627775217e-06,1.0411597486381652e-06
269.0,1.1579745660128538e-06,1.03397269413108e-06
270.0,1.151355832007539e-06,1.0316728094039718e-06
271.0,1.1400516086723655e-06,1.0244058330499684e-06
272.0,1.1341281833665562e-06,1.0223626532024355e-06
273.0,1.1228003131691366e-06,1.015043039842567e-06
274.0,1.1171421192557318e-06,1.0131561793969013e-06
275.0,1.1062621751989354e-06,1.0061180546472315e-06
276.0,1.1008487490471452e-06,1.004153546091402e-06
277.0,1.090280761673057e-06,9.969120355890482e-07
278.0,1.084687937691342e-06,9.945862302629394e-07
279.0,1.0762857982626883e-06,9.888742624752922e-07
280.0,1.0704994792831712e-06,9.851351023826282e-07
281.0,1.0672580401660525e-06,9.80446998255502e-07
282.0,1.061903958543553e-06,9.724072924655047e-07
283.0,1.0505733598620282e-06,9.662293223300367e-07
284.0,1.0482190191396512e-06,9.608987738829455e-07
285.0,1.0386728490630048e-06,9.56203052737692e-07
286.0,1.0351170658395858e-06,9.512348242424196e-07
287.0,1.029519694384362e-06,9.463824426347855e-07
288.0,1.02484784747503e-06,9.411077712684346e-07
289.0,1.0197740039075143e-06,9.363890285385423e-07
290.0,1.0147207376576262e-06,9.315715487900889e-07
291.0,1.009729544421134e-06,9.26838367831806e-07
292.0,1.004750174615765e-06,9.218477998729213e-07
293.0,9.998381074183271e-07,9.16707222131663e-07
294.0,9.95005393633619e-07,9.116652108787093e-07
295.0,9.90326157079835e-07,9.067169344234571e-07
296.0,9.856788665274507e-07,9.019398135023948e-07
297.0,9.812040389078902e-07,8.97211918982066e-07
298.0,9.76708633970702e-07,8.929409318625403e-07
299.0,9.723362381919287e-07,8.889450100468821e-07
300.0,9.68016706792696e-07,8.853446047396574e-07
301.0,9.637881248636404e-07,8.821127721603261e-07
302.0,9.59493377195031e-07,8.793593906375463e-07
303.0,9.551977200317197e-07,8.770296062721172e-07
304.0,9.509646474725741e-07,8.74916338489129e-07
305.0,9.466170354244241e-07,8.730468721296347e-07
306.0,9.423546316611464e-07,8.713815873306885e-07
307.0,9.381108156958362e-07,8.697663815837586e-07
308.0,9.339306075162312e-07,8.682151246830472e-07
309.0,9.297556289311615e-07,8.66586560732685e-07
310.0,9.257390161110379e-07,8.65050651555066e-07
311.0,9.220140668730892e-07,8.636123993710498e-07
312.0,9.194152994496108e-07,8.626310545878368e-07
313.0,9.194761787512107e-07,8.600457590546284e-07
314.0,9.269987799598312e-07,8.495236443195608e-07
315.0,9.491191121924203e-07,8.527288741788652e-07
316.0,9.38106836656516e-07,8.481555937578378e-07
317.0,9.300883334617538e-07,8.458527531729487e-07
318.0,9.259529178962111e-07,8.43285533846938e-07
319.0,9.207770403918403e-07,8.40839334159682e-07
320.0,9.161643106381234e-07,8.384865282096143e-07
321.0,9.114716021940694e-07,8.361926688849053e-07
322.0,9.068105555343209e-07,8.339081318808894e-07
323.0,9.022566018757061e-07,8.317128958879039e-07
324.0,8.977029892776045e-07,8.296045166389376e-07
325.0,8.933416211220901e-07,8.275412710645469e-07
326.0,8.88983436198032e-07,8.255667580669979e-07
327.0,8.84714609128423e-07,8.235692234848102e-07
328.0,8.805435527392547e-07,8.216525202442426e-07
329.0,8.764537824390572e-07,8.198283012461616e-07
330.0,8.724421718397934e-07,8.179885639947315e-07
331.0,8.685407237862819e-07,8.1624619951981e-07
332.0,8.646813398627273e-07,8.145301535478211e-07
333.0,8.609632118350419e-07,8.127877890728996e-07
334.0,8.572508249926614e-07,8.111063607429969e-07
335.0,8.536148925486486e-07,8.093405199360859e-07
336.0,8.50018523124163e-07,8.077299185060838e-07
337.0,8.464813276987115e-07,8.059463425524882e-07
338.0,8.429271929344395e-07,8.04266733211989e-07
339.0,8.3938590478283e-07,8.025796205402003e-07
340.0,8.359513685718412e-07,8.009142788978352e-07
341.0,8.325267231157341e-07,7.991450274857925e-07
342.0,8.29091050036368e-07,7.975120865921781e-07
343.0,8.25836252715817e-07,7.957845582495793e-07
344.0,8.225193255384511e-07,7.941223429952515e-07
345.0,8.192288873942744e-07,7.926067837615847e-07
346.0,8.161109690263402e-07,7.909890200608061e-07
347.0,8.12938310446043e-07,7.894810210018477e-07
348.0,8.099015076368232e-07,7.879079362282937e-07
349.0,8.068396368798858e-07,7.864471740504086e-07
350.0,8.039951353566721e-07,7.849748726584949e-07
351.0,8.010587180251605e-07,7.835736255401571e-07
352.0,7.982734473443998e-07,7.821282679287833e-07
353.0,7.955794103509106e-07,7.808611144355382e-07
354.0,7.928376817289973e-07,7.795565579726826e-07
355.0,7.902378911239794e-07,7.783469300193246e-07
356.0,7.877083021412545e-07,7.772181902510056e-07
357.0,7.852751764403365e-07,7.760688731650589e-07
358.0,7.828879233784392e-07,7.749819701530214e-07
359.0,7.804697474966815e-07,7.740003411527141e-07
360.0,7.782899160702073e-07,7.73021099575999e-07
361.0,7.760471589790541e-07,7.720615258222097e-07
362.0,7.739443503851362e-07,7.710908676017425e-07
363.0,7.717360404058127e-07,7.700749620198621e-07
364.0,7.696072543694754e-07,7.689894232498773e-07
365.0,7.675211577407026e-07,7.6785710234617e-07
366.0,7.653451916667109e-07,7.66567040955124e-07
367.0,7.632335154994507e-07,7.65163804317126e-07
368.0,7.611021715092647e-07,7.637133876414737e-07
369.0,7.589909500893555e-07,7.621749205100059e-07
370.0,7.56897350129293e-07,7.605234486618428e-07
371.0,7.5480278383111e-07,7.588536163893878e-07
372.0,7.527254410888418e-07,7.57173836518632e-07
373.0,7.506421297875931e-07,7.554375542895286e-07
374.0,7.486123649869114e-07,7.536615953540604e-07
375.0,7.465734483957931e-07,7.519218456764065e-07
376.0,7.445722758347983e-07,7.500827337025839e-07
377.0,7.42581562462874e-07,7.483148465325939e-07
378.0,7.406003419418994e-07,7.464851137228834e-07
379.0,7.386798301922681e-07,7.446460585924797e-07
380.0,7.367705734395713e-07,7.428583330693073e-07
381.0,7.348750727942388e-07,7.410588978018495e-07
382.0,7.329785489673668e-07,7.393488772322598e-07
383.0,7.311608101190359e-07,7.375359700745321e-07
384.0,7.293224371096585e-07,7.358719926742197e-07
385.0,7.27515157450398e-07,7.342222261286224e-07
386.0,7.257463039422873e-07,7.325729711737949e-07
387.0,7.239697197292116e-07,7.31022339550691e-07
388.0,7.222305384857464e-07,7.295126351891668e-07
389.0,7.205136398624745e-07,7.280328304659633e-07
390.0,7.188031077021151e-07,7.266422130669525e-07
391.0,7.170908702391898e-07,7.253123612827039e-07
392.0,7.154278023335792e-07,7.240066679514712e-07
393.0,7.137636544030102e-07,7.227827154565603e-07
394.0,7.12119572199299e-07,7.215804203042353e-07
395.0,7.104869155227789e-07,7.204379812719708e-07
396.0,7.088598295013071e-07,7.1935772893994e-07
397.0,7.072799803609087e-07,7.183033972069097e-07
398.0,7.056881372591306e-07,7.173095468715474e-07
399.0,7.041152230158332e-07,7.163522468545125e-07
400.0,7.025854529274511e-07,7.15442581622483e-07
401.0,7.010477247604285e-07,7.14566169790487e-07
402.0,6.995325634306937e-07,7.137223860809172e-07
403.0,6.980405373724352e-07,7.12933456270548e-07
404.0,6.965694296923175e-07,7.121783482944011e-07
405.0,6.951181603653822e-07,7.114524009921297e-07
406.0,6.936741101526422e-07,7.107732358235808e-07
407.0,6.922638817741245e-07,7.101071446413698e-07
408.0,6.908673526595521e-07,7.094947704899823e-07
409.0,6.895003252793686e-07,7.088594315973751e-07
410.0,6.881624585730606e-07,7.082669526425889e-07
411.0,6.868360173939436e-07,7.07693516233121e-07
412.0,6.855583478682092e-07,7.071248546708375e-07
413.0,6.842768698334112e-07,7.065734735078877e-07
414.0,6.830500183241384e-07,7.06019591234508e-07
415.0,6.818509064032696e-07,7.054705974951503e-07
416.0,6.806658348068595e-07,7.049428631944465e-07
417.0,6.795063427489367e-07,7.044118319754489e-07
418.0,6.783793082831835e-07,7.038942726467212e-07
419.0,6.772727374482201e-07,7.033972337922023e-07
420.0,6.761717372683052e-07,7.028878599157906e-07
421.0,6.75108367431676e-07,7.024138994893292e-07
422.0,6.740164621987788e-07,7.019606300673331e-07
423.0,6.729283086315263e-07,7.01520036727743e-07
424.0,6.718590270793356e-07,7.010774538684927e-07
425.0,6.707780357828597e-07,7.006978535173403e-07
426.0,6.697058552163071e-07,7.003621362855483e-07
427.0,6.686353799523204e-07,7.000300570325635e-07
428.0,6.675643930975639e-07,6.997851187406923e-07
429.0,6.664893703600683e-07,6.995623493821768e-07
430.0,6.654265121142089e-07,6.994023351580836e-07
431.0,6.64381843762385e-07,6.992612497924711e-07
432.0,6.633243287978985e-07,6.992108296799415e-07
433.0,6.622977366532723e-07,6.992305543462862e-07
434.0,6.612570473407686e-07,6.992523822191288e-07
435.0,6.602573421332636e-07,6.994424666117993e-07
436.0,6.592438808183942e-07,6.995926469244296e-07
437.0,6.582347964467772e-07,6.997466357461235e-07
438.0,6.57248619972961e-07,6.99975942097808e-07
439.0,6.562658541042765e-07,7.002873871897464e-07
440.0,6.552993454533862e-07,7.006487976468634e-07
441.0,6.543358495036955e-07,7.009787168499315e-07
442.0,6.533838927680335e-07,7.013420031398709e-07
443.0,6.524344371428015e-07,7.016284939709294e-07
444.0,6.514975439131376e-07,7.019530698926246e-07
445.0,6.505584906335571e-07,7.021900501058553e-07
446.0,6.496333639915974e-07,7.023169814601715e-07
447.0,6.487092605311773e-07,7.024208912298491e-07
448.0,6.47802380626672e-07,7.024623300821986e-07
449.0,6.468911237789143e-07,7.02359272963804e-07
450.0,6.459899282162951e-07,7.021425858511066e-07
451.0,6.450976002270181e-07,7.018520022938901e-07
452.0,6.442015774155152e-07,7.01317901530274e-07
453.0,6.433227781599271e-07,7.008235343164415e-07
454.0,6.424444336516899e-07,7.001506787673861e-07
455.0,6.415832558559487e-07,6.993141141720116e-07
456.0,6.407162231880648e-07,6.98364488016523e-07
457.0,6.39860161300021e-07,6.973065183046856e-07
458.0,6.39013194358995e-07,6.962040401958802e-07
459.0,6.381692969625874e-07,6.948984037080663e-07
460.0,6.373405199155968e-07,6.93697472797794e-07
461.0,6.365180524880998e-07,6.92354717557464e-07
462.0,6.357032020787301e-07,6.909962166901096e-07
463.0,6.348990950755251e-07,6.895473916301853e-07
464.0,6.340983986774518e-07,6.882117418172129e-07
465.0,6.333143005576858e-07,6.868351078992418e-07
466.0,6.325345793811721e-07,6.854700131952995e-07
467.0,6.317617362583405e-07,6.840451192147157e-07
468.0,6.310042977020203e-07,6.827376068940794e-07
469.0,6.302502129074128e-07,6.813818913542491e-07
470.0,6.295086905083735e-07,6.801174095016904e-07
471.0,6.287654628067685e-07,6.789683197894192e-07
472.0,6.280480988607451e-07,6.777866019547218e-07
473.0,6.273311896620726e-07,6.767036211385857e-07
474.0,6.26624114374863e-07,6.756649213457422e-07
475.0,6.259235192374035e-07,6.746830649717594e-07
476.0,6.252374760151724e-07,6.737089393027418e-07
477.0,6.245585950637178e-07,6.728211587869737e-07
478.0,6.23892447038088e-07,6.719423595313856e-07
479.0,6.232270948203222e-07,6.710922093589033e-07
480.0,6.225751008059888e-07,6.70335225549934e-07
481.0,6.219308374966204e-07,6.695626666441967e-07
482.0,6.213002166077786e-07,6.688612188554544e-07
483.0,6.206765306160378e-07,6.681399327135296e-07
484.0,6.200600068950735e-07,6.674513883808686e-07
485.0,6.19449679106765e-07,6.667651746283809e-07
486.0,6.188512884364172e-07,6.66101925617113e-07
487.0,6.182616516525741e-07,6.654240678471979e-07
488.0,6.176848046379746e-07,6.647630925726844e-07
489.0,6.171102313601295e-07,6.641078584834759e-07
490.0,6.165527111079427e-07,6.634318765463831e-07
491.0,6.159956456031068e-07,6.627892616961617e-07
492.0,6.154479592623829e-07,6.620916792599019e-07
493.0,6.149156206447515e-07,6.614390031245421e-07
494.0,6.143942528069601e-07,6.607412501580257e-07
495.0,6.138737376204517e-07,6.600932920264313e-07
496.0,6.133665237939567e-07,6.593913326469192e-07
